City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
485,kenora,49.8167,-94.4337,261.69,85,100,4.12,CA,1705008564
486,burang,30.25,81.1667,266.24,20,0,1.86,CN,1705008564
487,grand-bassam,5.2118,-3.7388,302.13,83,78,4.48,CI,1705008564
488,kudahuvadhoo,2.6708,72.8944,300.9,79,100,7.28,MV,1705008565
489,gurupi,-11.7292,-49.0686,298.95,81,100,2.73,BR,1705008566
490,kenai,60.5544,-151.2583,267.18,86,0,6.69,US,1705008566
491,sarkikaraagac,38.0794,31.3664,276.55,83,100,0.88,TR,1705008566
492,kavieng,-2.5744,150.7967,301.14,77,100,1.45,PG,1705008567
493,folkston,30.8305,-82.0098,287.51,65,100,0.64,US,1705008567
494,callao,-12.0667,-77.15,299.31,65,20,6.69,PE,1705008330
495,champerico,14.3,-91.9167,306.45,60,10,4.83,GT,1705008568
496,kaoma,-14.7833,24.8,290.09,98,99,1.59,ZM,1705008569
497,bafoulabe,13.8065,-10.8321,304.04,13,16,2.63,ML,1705008569
498,ingeniero jacobacci,-41.3427,-69.5448,297.93,19,21,6.46,AR,1705008569
499,chibougamau,49.9168,-74.3659,258.94,78,100,4.63,CA,1705008570
500,marine corps base hawaii - mcbh,21.4453,-157.7513,299.13,59,0,2.68,US,1705008570
501,boulder city,35.9786,-114.8325,281.91,21,0,6.69,US,1705008308
502,touros,-5.1989,-35.4608,300.31,68,0,5.61,BR,1705008575
503,tangalle,6.024,80.7911,297.24,80,80,6.47,LK,1705008575
504,mount isa,-20.7333,139.5,297.02,94,100,3.6,AU,1705008576
505,teknaf,20.8624,92.3058,288.71,67,0,5.63,BD,1705008576
506,nova sintra,14.8667,-24.7167,293.67,68,86,5.1,CV,1705008576
507,cadale,2.7603,46.3222,298.58,82,94,6.68,SO,1705008576
508,beacon square,28.2086,-82.7554,291.47,72,100,1.34,US,1705008577
509,zaragoza,41.6561,-0.8773,277.05,69,0,6.17,ES,1705008577
510,male,4.1748,73.5089,301.12,89,75,11.83,MV,1705008577
511,koungheul,13.9833,-14.8,303.63,14,42,1.9,SN,1705008577
512,boca suno,-0.7167,-77.1333,303.92,58,87,1.44,EC,1705008578
513,midvagur,62.0511,-7.1939,279.61,87,100,6.69,FO,1705008578
514,corn island,12.1694,-83.0418,300.91,76,11,3.64,NI,1705008578
515,akjoujt,19.6969,-14.4164,297.61,12,25,1.74,MR,1705008578
516,fort mcmurray,56.7268,-111.381,238.92,68,100,2.06,CA,1705008578
517,stjordalshalsen,63.4681,10.9262,278.15,81,75,11.83,NO,1705008579
518,san antonio de los banos,22.8911,-82.4992,301.14,74,75,3.09,CU,1705008579
519,motygino,58.1831,94.7592,256.85,98,100,0.68,RU,1705008579
520,bolotnoye,55.6717,84.3981,255.06,88,100,6.13,RU,1705008579
521,awjilah,29.1081,21.2869,287.49,60,10,3.11,LY,1705008580
522,bureya,49.8133,129.8131,238.12,99,85,0.48,RU,1705008580
523,christchurch,-43.5333,172.6333,296.23,67,75,7.72,NZ,1705008539
524,cidreira,-30.1811,-50.2056,295.81,94,100,2.72,BR,1705008580
525,pirane,-25.7324,-59.1088,295.24,97,100,2.32,AR,1705008581
526,bandar-e anzali,37.4727,49.4622,281.39,82,96,1.52,IR,1705008581
527,luba,3.4568,8.5547,297.09,77,94,4.92,GQ,1705008581
528,togur,58.3631,82.8265,250.45,90,36,4.92,RU,1705008586
529,nangomba,-10.9,38.5,295.76,98,100,2.05,TZ,1705008587
530,veraval,20.9,70.3667,295.45,46,2,4.54,IN,1705008587
531,miracatu,-24.2814,-47.4597,305.03,56,88,1.96,BR,1705008587
532,quepos,9.4236,-84.1652,302.17,70,25,2.22,CR,1705008587
533,carauari,-4.8828,-66.8958,300.86,76,97,1.12,BR,1705008588
534,la rinconada,37.4873,-5.9826,284.29,88,0,1.03,ES,1705008588
535,mandera,3.9366,41.867,301.29,30,9,3.23,KE,1705008588
